21:07:09.611 leos [main] [] WARN  o.a.activemq.artemis.core.server - AMQ222018: AIO was not located on this platform, it will fall back to using pure Java NIO. If your platform is Linux, install LibAIO to enable the AIO journal
21:07:09.615 leos [main] [] WARN  o.a.activemq.artemis.core.server - AMQ222269: Please use a fixed value for "journal-pool-files". Default changed per https://issues.apache.org/jira/browse/ARTEMIS-1628
21:07:10.891 leos [main] [] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
21:07:11.028 leos [main] [] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 8399 ms
21:07:11.091 leos [main] [] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcher': initialization started
21:07:11.093 leos [main] [] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'dispatcher-servlet': startup date [Thu Mar 17 21:07:11 GMT+02:00 2022]; parent: Root WebApplicationContext
21:07:11.094 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/dispatcher-servlet.xml]
21:07:11.189 leos [main] [] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
21:07:11.263 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/token],methods=[GET],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getToken(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
21:07:11.264 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/cloneProposal],methods=[POST],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.cloneProposalFromLeg_compatibility(org.springframework.web.multipart.MultipartFile,java.lang.String,java.lang.String,java.lang.String)
21:07:11.265 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/search/{userId}],methods=[GET],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getProposalsForUser_compatibility(java.lang.String)
21:07:11.265 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/search/{userId}/{documentRef}],methods=[GET],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getDocumentForUser(java.lang.String,java.lang.String)
21:07:11.266 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/renditionfromleg],methods=[POST],produces=[application/octet-stream]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getPdfFromLegFile_compatibility(org.springframework.web.multipart.MultipartFile,java.lang.String)
21:07:11.266 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/compare],methods=[POST],produces=[application/json;charset=UTF-8]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.compareContents_compatibility(javax.servlet.http.HttpServletRequest,int,org.springframework.web.multipart.MultipartFile,org.springframework.web.multipart.MultipartFile)
21:07:11.266 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/milestones/{proposalRef}],methods=[GET],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getLegFilesForProposal(java.lang.String)
